Temperature,Cp
100.0,20.786
200.0,20.786
298.15,20.786
300.0,20.786
400.0,20.786
500.0,20.786
600.0,20.786
700.0,20.786
800.0,20.786
900.0,20.786
1000.0,20.786
1100.0,20.786
1200.0,20.786
1300.0,20.786
1400.0,20.786
1500.0,20.786
1600.0,20.786
1700.0,20.786
1800.0,20.786
1900.0,20.786
2000.0,20.786
2100.0,20.786
2200.0,20.786
2300.0,20.786
2400.0,20.786
2500.0,20.786
2600.0,20.786
2700.0,20.786
2800.0,20.786
2900.0,20.786
3000.0,20.786
3100.0,20.786
3200.0,20.786
3300.0,20.786
3400.0,20.786
3500.0,20.786
3600.0,20.786
3700.0,20.786
3800.0,20.786
3900.0,20.786
4000.0,20.786
4100.0,20.786
4200.0,20.786
4300.0,20.786
4400.0,20.786
4500.0,20.786
4600.0,20.786
4700.0,20.786
4800.0,20.786
4900.0,20.786
5000.0,20.786
5100.0,20.786
5200.0,20.786
5300.0,20.786
5400.0,20.786
5500.0,20.786
5600.0,20.786
5700.0,20.786
5800.0,20.786
5900.0,20.786
6000.0,20.786
6200.0,20.786
6400.0,20.786
6600.0,20.786
6800.0,20.786
7000.0,20.786
7200.0,20.786
7400.0,20.786
7600.0,20.786
7800.0,20.786
8000.0,20.786
8200.0,20.786
8400.0,20.786
8600.0,20.786
8800.0,20.786
9000.0,20.786
9200.0,20.786
9400.0,20.786
9600.0,20.786
9800.0,20.786
10000.0,20.786
10500.0,20.786
11000.0,20.786
